holiday,temperature,rain_1h,snow_1h,clouds_percentage,date_time,population_density
0,252.72,0.0,0.0,1,5,2757
0,270.55,0.0,0.0,90,17,2709
0,258.22,0.0,0.0,1,13,3337
0,287.8,0.0,0.0,64,6,5869
0,268.9,0.0,0.0,5,14,4571
0,290.09,0.0,0.0,75,0,1507
0,251.74,0.0,0.0,1,21,1994
0,268.98,0.0,0.0,64,6,1029
0,263.41,0.0,0.0,64,1,765
0,284.29,0.0,0.0,1,4,392
0,296.115,0.0,0.0,12,15,4326
0,296.04,0.0,0.0,1,17,6220
0,290.38,0.0,0.0,90,0,501
0,273.42,0.0,0.0,90,19,2982
0,289.775,0.0,0.0,56,15,5365
0,255.15,0.0,0.0,1,23,1660
0,288.89,0.0,0.0,90,20,2733
0,285.55,0.0,0.0,1,6,5327
0,258.06,0.0,0.0,40,11,4608
0,272.15,0.0,0.0,90,2,485
0,291.48,0.0,0.0,90,1,406
0,289.38,0.0,0.0,75,12,4088
0,273.02,0.0,0.0,90,19,3075
0,269.6,0.0,0.0,90,11,4747
0,289.63,0.0,0.0,1,6,1567
0,282.42,0.0,0.0,90,0,478
0,268.35,0.0,0.0,90,22,594
0,289.33,0.25,0.0,90,0,617
0,278.55,0.0,0.0,90,11,4690
0,289.61,0.0,0.0,1,6,5927
0,271.09,0.0,0.0,90,19,3296
0,274.16,0.0,0.0,20,15,6002
0,278.58,0.0,0.0,1,4,910
0,296.67,0.0,0.0,0,0,1252
0,269.35,0.0,0.0,5,21,2649
0,258.47,0.0,0.0,90,22,1610
0,263.21,0.0,0.0,75,1,322
0,272.71,0.0,0.0,90,15,3762
0,296.54,0.0,0.0,75,16,5718
0,270.72,0.0,0.0,90,23,1598
0,290.11,0.0,0.0,1,16,6304
0,259.6,0.0,0.0,90,15,5554
0,251.52,0.0,0.0,75,23,1605
0,291.72,0.0,0.0,90,17,4371
0,296.84,0.0,0.0,40,9,5263
0,288.03,0.0,0.0,0,5,2932
0,271.0,0.0,0.0,90,13,2205
0,292.15,0.0,0.0,90,17,5982
0,279.02,0.0,0.0,1,6,1355
0,290.66,0.0,0.0,0,22,1926
0,266.95,0.0,0.13,90,0,505
0,286.89,0.0,0.0,1,5,1788
0,266.86,0.0,0.0,90,18,4253
0,293.85,0.25,0.0,20,22,2066
0,275.59,0.0,0.0,40,18,3496
0,272.21,0.0,0.0,90,14,4958
0,297.89,0.0,0.0,1,0,676
0,304.01,0.0,0.0,75,13,5168
0,300.47,0.0,0.0,48,21,2707
0,274.82,0.0,0.0,90,6,5117
0,298.04,0.0,0.0,90,19,3724
0,291.37,0.0,0.0,1,5,2842
0,287.8,0.0,0.0,0,10,3954
0,282.27,0.0,0.0,1,23,2347
0,283.48,0.76,0.0,90,10,4226
0,280.78,0.0,0.0,75,23,1053
0,258.78,0.0,0.0,20,8,5727
0,284.66,0.0,0.0,20,8,2224
0,283.41,0.0,0.0,40,18,2754
0,291.55,0.0,0.0,90,4,887
0,272.65,0.0,0.0,75,9,5472
0,299.9,0.0,0.0,75,2,334
0,302.01,0.0,0.0,5,17,4085
0,250.78,0.0,0.0,1,18,4305
0,286.03,0.0,0.0,75,22,1831
0,261.36,0.0,0.0,1,0,602
0,299.95,0.0,0.0,1,11,5453
0,272.23,0.0,0.0,90,6,1274
0,283.82,0.0,0.0,90,9,4477
0,292.93,0.0,0.0,90,11,4549
0,280.79,0.0,0.0,90,0,621
0,290.01,0.51,0.0,76,4,900
0,296.55,0.0,0.0,1,1,455
0,279.62,0.0,0.0,1,15,6173
0,301.66,0.0,0.0,0,16,6315
0,285.73,0.0,0.0,92,21,3331
0,290.43,0.0,0.0,1,7,1205
0,287.03,0.0,0.0,75,13,4756
0,279.62,0.0,0.0,90,0,608
0,276.63,0.0,0.0,90,10,3547
0,277.95,0.0,0.0,1,23,1642
0,276.4,0.0,0.0,90,18,4850
0,271.28,0.0,0.0,1,11,4371
0,297.407,0.0,0.0,8,3,332
0,272.15,0.0,0.0,90,15,5918
0,273.22,0.0,0.0,75,9,5294
0,275.2,0.0,0.0,90,13,5161
0,287.28,0.0,0.0,40,7,6353
0,287.18,0.0,0.0,0,6,5960
0,286.15,0.0,0.0,90,9,5445
0,266.28,0.0,0.0,90,17,2706
0,272.02,0.0,0.0,90,23,783
0,272.51,0.0,0.0,1,14,5131
0,272.58,0.0,0.0,90,18,4267
0,281.43,0.0,0.0,1,22,3237
0,296.95,0.0,0.0,40,23,2583
0,267.78,0.0,0.0,1,19,3124
0,294.46,0.25,0.0,1,13,4107
0,266.86,0.0,0.0,90,13,3400
0,302.36,0.0,0.0,40,14,5331
0,301.62,0.0,0.0,1,20,3420
0,276.08,0.0,0.0,1,9,4153
0,278.08,0.0,0.0,90,22,3865
0,295.39,9.15,0.0,90,6,4763
0,283.82,0.0,0.0,1,1,317
0,299.0,0.0,0.0,0,14,5457
0,274.36,0.0,0.0,90,19,3000
0,278.28,0.0,0.0,1,23,1038
0,292.81,0.0,0.0,8,10,5096
0,280.51,0.25,0.0,90,1,770
0,293.12,0.25,0.0,0,4,411
0,290.17,0.0,0.0,24,8,5425
0,271.68,0.0,0.0,90,5,748
0,282.76,0.0,0.0,90,12,5227
0,284.93,0.0,0.0,90,10,4852
0,265.46,0.0,0.0,64,6,5710
0,273.43,0.0,0.0,1,5,2875
0,275.72,0.0,0.0,1,16,6586
0,288.66,0.0,0.0,92,2,359
0,281.54,0.0,0.0,0,10,4187
0,279.79,0.0,0.0,40,21,3540
0,266.8,0.0,0.0,75,1,685
0,277.49,0.0,0.0,90,19,3651
0,260.48,0.0,0.0,1,16,6570
0,298.9,0.0,0.0,5,21,2623
0,286.86,0.0,0.0,90,23,1629
0,271.43,0.0,0.0,90,1,242
0,298.43,0.0,0.0,1,10,4216
0,278.01,0.0,0.0,90,21,3515
0,290.11,0.0,0.0,0,9,5213
0,278.07,0.0,0.0,20,9,5112
0,296.19,0.0,0.0,24,3,361
0,274.44,0.0,0.0,64,6,768
0,271.01,0.0,0.0,90,3,321
0,300.81,0.0,0.0,20,15,5483
0,285.39,0.25,0.0,92,2,343
0,291.08,0.0,0.0,5,18,4708
0,271.95,0.0,0.0,90,6,5276
0,282.13,0.0,0.0,75,6,5210
0,283.46,0.0,0.0,90,8,4907
0,289.75,0.0,0.0,90,8,5822
0,279.02,0.0,0.0,75,12,5602
0,270.61,0.0,0.0,90,3,541
0,250.49,0.0,0.0,1,3,313
0,284.08,0.0,0.0,90,9,4802
0,281.09,0.0,0.0,90,6,6095
0,279.93,0.0,0.0,1,8,5928
0,288.42,0.0,0.0,1,22,1708
0,289.79,0.0,0.0,1,5,2866
0,291.72,0.0,0.0,1,10,4562
0,261.72,0.0,0.0,90,18,2344
0,270.17,0.0,0.0,90,8,5444
0,272.061,0.0,0.0,24,8,6003
0,286.42,0.0,0.0,90,10,2609
0,274.15,0.0,0.0,1,13,5478
0,283.79,0.64,0.0,0,5,2917
0,288.31,0.0,0.0,75,4,906
0,284.63,0.0,0.0,90,3,372
0,294.78,0.0,0.0,48,3,395
0,284.29,0.0,0.0,75,3,350
0,293.93,0.0,0.0,32,1,617
0,291.08,0.0,0.0,1,3,486
0,296.41,0.0,0.0,1,17,4717
0,295.27,0.44,0.0,90,19,3006
0,292.87,0.0,0.0,20,19,3243
0,256.56,0.0,0.0,1,6,5180
0,281.81,0.0,0.0,1,13,4440
0,274.96,0.0,0.0,90,22,2316
0,262.33,0.0,0.0,5,21,2571
0,275.88,0.0,0.0,90,18,5182
0,269.95,0.0,0.0,90,19,2316
0,286.01,0.0,0.0,20,10,4384
0,298.94,0.0,0.0,75,14,4571
0,250.56,0.0,0.0,75,8,5549
0,292.75,0.0,0.0,75,8,5629
0,276.34,0.0,0.0,1,4,850
