holiday,temperature,rain_1h,snow_1h,clouds_percentage,date_time,population_density
0,258.52,0.0,0.0,20,7,6439
0,302.58,0.0,0.0,5,19,3658
0,275.79,0.0,0.0,90,13,3908
0,269.01,0.0,0.0,75,10,4047
0,260.09,0.0,0.0,1,2,407
0,288.99,0.0,0.0,75,5,2986
0,275.22,0.0,0.0,90,16,4130
0,294.89,0.0,0.0,1,23,1167
0,283.86,0.0,0.0,1,3,360
0,275.28,0.0,0.0,90,0,1222
0,287.82,0.0,0.0,1,8,6618
0,291.3,0.0,0.0,90,19,3071
0,285.26,0.0,0.0,44,5,551
0,259.58,0.0,0.0,20,0,590
0,285.14,0.0,0.0,0,7,6633
0,298.78,0.0,0.0,8,14,5626
0,291.94,0.0,0.0,90,22,1787
0,283.216,0.0,0.0,20,17,4980
0,283.42,0.0,0.0,1,6,5927
0,258.21,0.0,0.0,1,8,5947
0,270.62,0.0,0.0,90,7,1941
0,293.41,0.0,0.0,1,3,356
0,255.15,0.0,0.0,1,17,3079
0,291.7,0.0,0.0,5,11,4249
0,295.81,0.0,0.0,24,20,2605
0,276.02,0.0,0.0,40,5,2721
0,288.36,0.0,0.0,40,2,295
0,286.51,0.0,0.0,90,19,4165
0,273.02,0.0,0.0,1,16,6552
0,289.95,0.0,0.0,90,11,4507
0,291.99,0.0,0.0,1,2,342
0,296.34,0.0,0.0,90,19,2888
0,282.95,0.0,0.0,90,11,4915
0,258.78,0.0,0.0,64,13,4435
0,291.03,1.27,0.0,75,15,4143
0,293.58,0.0,0.0,64,13,4532
0,282.36,0.0,0.0,1,14,5429
0,272.15,0.0,0.0,90,5,2902
0,297.77,0.0,0.0,90,12,3509
0,295.16,0.0,0.0,1,20,3256
0,299.68,0.0,0.0,1,12,5077
0,295.6,0.0,0.0,90,15,5919
0,266.15,0.0,0.0,90,21,2237
0,278.81,0.0,0.0,1,11,5266
0,271.24,0.0,0.0,90,6,5471
0,298.62,0.0,0.0,5,22,2711
0,261.71,0.0,0.0,1,7,998
0,266.35,0.0,0.0,1,1,655
0,299.65,0.0,0.0,1,14,5480
0,297.28,0.0,0.0,90,10,3634
0,284.38,0.0,0.0,75,16,4283
0,301.16,0.25,0.0,75,16,5925
0,287.15,0.0,0.0,90,21,2872
0,274.48,0.0,0.0,90,23,935
0,297.55,0.0,0.0,20,21,3435
0,284.15,0.0,0.0,90,21,2377
0,277.08,0.0,0.0,1,10,5005
0,265.29,0.0,0.0,90,15,5480
0,289.52,0.0,0.0,1,1,656
0,301.51,0.0,0.0,75,18,4771
0,295.15,0.0,0.0,1,0,591
0,300.39,0.0,0.0,20,22,2094
0,272.43,0.0,0.0,90,4,905
0,288.91,0.0,0.0,1,2,315
0,265.08,0.0,0.0,90,4,839
0,293.82,0.0,0.0,75,19,3947
0,271.21,0.0,0.0,1,1,289
0,288.18,0.0,0.0,1,22,1770
0,261.23,0.0,0.0,75,9,4637
0,279.51,0.0,0.0,90,2,279
0,279.22,0.0,0.0,1,5,2970
0,287.27,0.0,0.0,90,21,2263
0,264.38,0.0,0.0,64,1,406
0,249.48,0.0,0.0,1,5,2439
0,287.29,0.0,0.0,1,4,894
0,266.15,0.0,0.0,90,11,3454
0,282.6,0.0,0.0,1,1,846
0,264.58,0.0,0.0,40,22,2293
0,291.28,0.0,0.0,40,8,6203
0,294.09,0.0,0.0,1,1,401
0,292.68,0.0,0.0,40,15,5802
0,253.55,0.0,0.0,5,8,4915
0,272.15,0.0,0.0,75,13,5023
0,279.87,0.0,0.0,1,1,324
0,273.55,0.0,0.0,90,8,3400
0,298.98,0.0,0.0,90,17,4012
0,258.89,0.0,0.0,64,0,658
0,286.87,0.0,0.0,5,21,2286
0,281.86,0.0,0.0,75,9,5535
0,299.2,0.25,0.0,8,13,4990
0,300.69,0.0,0.0,0,16,5954
0,289.8,0.0,0.0,90,3,355
0,301.22,0.0,0.0,40,20,2792
0,286.77,0.0,0.0,0,16,4912
0,269.65,0.0,0.0,75,13,3840
0,297.08,0.0,0.0,1,10,3738
0,271.341,0.0,0.0,8,19,3502
0,257.75,0.0,0.0,90,7,5916
0,267.43,0.0,0.0,90,5,730
0,275.95,0.0,0.0,90,19,2730
0,290.68,7.72,0.0,90,13,4444
0,277.29,0.0,0.0,5,17,6236
0,296.02,0.0,0.0,75,16,6537
0,287.13,0.0,0.0,75,1,940
0,291.37,0.66,0.0,1,8,6252
0,278.87,0.0,0.0,1,21,3102
0,254.51,0.0,0.0,1,18,3669
0,270.56,0.0,0.0,64,8,5722
0,273.08,0.0,0.0,90,8,2950
0,295.81,0.0,0.0,1,14,5210
0,271.57,0.0,0.0,1,22,2505
0,292.82,0.0,0.0,90,9,2803
0,290.63,0.0,0.0,12,10,4815
0,261.68,0.0,0.0,20,14,5136
0,273.58,0.0,0.0,75,4,888
0,275.84,0.0,0.0,90,8,5803
0,248.15,0.0,0.0,1,23,959
0,301.5,0.0,0.0,40,14,4943
0,281.73,0.0,0.0,1,5,2915
0,275.84,0.0,0.0,92,9,4922
0,296.73,0.0,0.0,1,12,5136
0,259.81,0.0,0.0,75,9,5184
0,287.71,0.0,0.0,0,5,2828
0,290.437,0.0,0.0,88,2,316
0,293.29,0.0,0.0,1,3,413
0,287.39,0.0,0.0,92,6,5345
0,286.87,0.0,0.0,90,13,3213
0,277.61,0.0,0.0,75,21,2616
0,301.82,0.0,0.0,1,15,5428
0,263.68,0.0,0.0,90,9,3024
0,279.51,0.0,0.0,90,12,4743
0,279.07,0.0,0.0,1,0,680
0,284.29,0.0,0.0,90,18,5351
0,283.0,0.0,0.0,1,8,5742
0,271.58,0.0,0.0,1,23,1273
0,297.62,0.25,0.0,90,23,955
0,290.75,0.51,0.0,90,8,5940
0,258.36,0.0,0.0,75,0,741
0,279.21,0.0,0.0,90,8,6012
0,273.57,0.0,0.0,90,23,929
0,286.15,0.0,0.0,90,9,2371
0,274.52,0.0,0.0,90,13,3681
0,277.74,0.0,0.0,75,8,6217
0,284.71,0.0,0.0,75,3,313
0,285.75,0.0,0.0,90,23,1328
0,285.95,0.0,0.0,90,15,5712
0,287.86,0.0,0.0,20,7,1365
0,272.6,0.0,0.0,90,7,5652
0,277.69,0.0,0.0,75,23,1168
0,297.79,0.0,0.0,1,11,5123
0,273.72,0.0,0.0,1,6,1418
0,296.59,0.0,0.0,12,8,1604
0,291.52,1.49,0.0,90,1,816
0,254.42,0.0,0.0,1,4,836
0,274.7,0.25,0.0,64,19,3143
0,255.93,0.0,0.0,20,8,5516
0,290.08,0.0,0.0,90,5,2880
0,271.63,0.0,0.0,90,2,690
0,289.22,0.0,0.0,1,19,3813
0,268.61,0.0,0.0,90,8,3380
0,265.89,0.0,0.0,75,13,4062
0,276.56,0.0,0.0,1,20,2963
0,292.61,0.0,0.0,8,23,1418
0,275.09,0.0,0.0,90,14,4694
0,283.973,0.0,0.0,0,22,1886
0,286.92,0.0,0.0,0,5,2971
0,284.07,0.0,0.0,12,8,6108
