holiday,temperature,rain_1h,snow_1h,clouds_percentage,date_time,population_density
0,272.01,0.0,0.0,90,7,1311
0,294.05,0.0,0.0,0,6,1310
0,284.93,0.0,0.0,90,2,566
0,299.22,0.0,0.0,1,18,4017
0,271.29,0.0,0.0,90,0,548
0,302.51,0.0,0.0,40,14,4242
0,270.08,0.0,0.0,90,7,3683
0,288.86,0.0,0.0,75,8,6071
0,262.94,0.0,0.0,75,4,773
0,281.75,0.0,0.0,90,22,1501
0,289.29,0.0,0.0,90,15,5406
0,279.1,0.0,0.0,1,5,378
0,295.0,0.0,0.0,1,21,2368
0,298.29,0.0,0.0,40,19,3560
0,286.47,0.0,0.0,0,7,5924
0,271.54,0.0,0.0,1,6,5577
0,268.91,0.0,0.0,90,21,1943
0,293.31,0.0,0.0,20,7,1457
0,288.57,0.0,0.0,75,20,2963
0,273.5,0.0,0.0,40,4,401
0,286.98,0.0,0.0,90,10,3696
0,299.13,0.0,0.0,75,13,4798
0,257.49,0.0,0.0,20,1,393
0,259.92,0.0,0.0,90,17,4178
0,299.05,0.0,0.0,0,17,6234
0,270.65,0.0,0.0,1,9,4140
0,280.11,0.0,0.0,75,10,4770
0,270.85,0.0,0.0,90,2,426
0,294.58,0.0,0.0,40,0,595
0,267.83,0.0,0.0,64,16,6156
0,292.21,0.0,0.0,90,23,1363
0,296.32,0.0,0.0,12,19,3435
0,294.68,0.0,0.0,90,16,6556
0,268.77,0.0,0.0,1,0,560
0,271.62,0.0,0.0,90,20,2706
0,280.29,0.0,0.0,90,7,1806
0,274.95,0.0,0.0,90,9,3631
0,272.9,0.0,0.0,75,12,5007
0,284.12,0.0,0.0,75,23,1075
0,284.22,0.0,0.0,90,18,4380
0,290.11,0.51,0.0,90,23,1093
0,284.27,0.0,0.0,90,9,5083
0,276.95,0.0,0.0,90,11,4535
0,304.36,0.0,0.0,40,17,4175
0,292.56,0.0,0.0,0,0,683
0,281.2,0.0,0.0,1,23,4030
0,263.7,0.0,0.0,20,3,346
0,272.49,0.0,0.0,40,21,3331
0,291.15,0.0,0.0,90,8,5653
0,279.81,0.0,0.0,90,21,2171
0,277.4,0.0,0.0,90,8,6485
0,294.07,0.0,0.0,90,9,4654
0,296.28,0.0,0.0,90,12,4284
0,278.68,0.0,0.0,90,16,4396
0,273.79,0.0,0.0,90,7,6485
0,276.25,0.0,0.0,90,15,4797
0,275.43,0.0,0.0,90,8,6115
0,251.67,0.0,0.0,40,11,4481
0,283.37,0.0,0.0,1,1,331
0,292.46,0.0,0.0,0,8,3383
0,292.15,0.0,0.0,90,17,5982
0,294.55,0.0,0.0,90,5,2790
0,296.42,0.0,0.0,1,3,401
0,292.4,0.0,0.0,75,3,268
0,287.29,0.0,0.0,75,6,5721
0,271.22,0.0,0.0,75,10,4476
0,271.88,0.0,0.0,90,3,794
0,265.92,0.0,0.0,90,19,3138
0,281.04,0.0,0.0,90,15,5830
0,302.29,0.0,0.0,40,19,3183
0,270.536,0.0,0.0,0,2,266
0,297.41,0.0,0.0,40,19,3375
0,275.27,0.0,0.0,90,11,4803
0,259.39,0.0,0.0,1,4,362
0,293.25,0.0,0.0,12,11,4308
0,275.28,0.0,0.0,90,15,4502
0,269.28,0.0,0.0,90,4,877
0,298.94,0.0,0.0,1,16,4256
0,297.88,0.0,0.0,80,14,4442
0,293.96,0.0,0.0,75,7,2070
0,290.36,0.0,0.0,90,19,3113
0,292.29,0.0,0.0,90,13,4699
0,277.08,0.0,0.0,1,10,5005
0,281.42,0.0,0.0,90,23,3083
0,297.74,0.76,0.0,1,2,249
0,256.62,0.0,0.0,40,10,4254
0,293.65,5.59,0.0,8,8,2260
0,288.29,0.0,0.0,1,6,1055
0,261.72,0.0,0.0,90,18,2344
0,293.99,0.0,0.0,40,12,4294
0,301.13,0.0,0.0,88,17,5077
0,266.95,0.0,0.0,5,17,5735
0,295.99,0.0,0.0,1,18,3248
0,283.42,0.0,0.0,1,5,891
0,290.15,0.0,0.0,1,1,494
0,271.72,0.0,0.0,90,11,4936
0,296.68,0.0,0.0,0,11,4854
0,269.37,0.0,0.0,75,11,3378
0,292.22,0.25,0.0,1,4,881
0,287.36,0.0,0.0,1,1,461
0,264.49,0.0,0.0,20,17,4030
0,292.22,0.0,0.0,90,16,6821
0,294.48,0.0,0.0,1,20,3412
0,299.0,0.0,0.0,1,13,4313
0,297.75,0.0,0.0,75,19,3716
0,295.6,2.76,0.0,90,16,5667
0,285.3,0.0,0.0,1,0,662
0,286.37,0.0,0.0,1,5,2514
0,289.82,0.0,0.0,1,19,4027
0,273.55,0.0,0.0,90,16,4771
0,274.48,0.0,0.0,20,6,5882
0,253.72,0.0,0.0,1,5,2603
0,262.3,0.0,0.0,1,0,811
0,250.14,0.0,0.0,1,18,3366
0,290.52,1.52,0.0,90,18,3857
0,255.56,0.0,0.0,90,22,3500
0,290.8,0.0,0.0,90,14,5370
0,297.32,0.0,0.0,8,12,5299
0,288.39,0.0,0.0,40,5,2623
0,258.79,0.0,0.0,63,1,349
0,278.15,0.0,0.0,90,4,287
0,282.02,0.0,0.0,1,23,1012
0,276.13,0.0,0.0,90,16,4623
0,272.94,0.0,0.0,75,4,867
0,270.22,0.0,0.0,1,4,859
0,276.72,0.0,0.0,1,23,1977
0,298.19,0.51,0.0,75,19,3061
0,257.63,0.0,0.0,1,22,1717
0,304.698,0.0,0.0,0,13,4483
0,292.19,0.0,0.0,40,0,1338
0,293.24,0.0,0.0,1,10,4738
0,292.87,0.51,0.0,75,5,782
0,285.62,0.0,0.0,90,13,5109
0,304.68,0.0,0.0,12,16,6009
0,262.6,0.0,0.0,5,13,4637
0,284.53,0.0,0.0,1,16,4591
0,299.589,0.0,0.0,12,20,3341
0,269.86,0.0,0.0,90,0,632
0,266.09,0.0,0.0,1,23,1305
0,294.63,0.0,0.0,1,2,305
0,288.15,1.72,0.0,92,7,1053
0,301.35,0.0,0.0,56,16,4586
0,279.26,0.0,0.0,90,22,1825
0,298.271,0.0,0.0,24,19,4063
0,277.43,0.0,0.0,90,11,4878
0,273.62,0.0,0.0,54,13,1686
0,274.02,0.25,0.0,64,16,6118
0,282.62,0.0,0.0,75,5,2769
0,279.74,0.0,0.0,87,5,2370
0,287.65,0.0,0.0,90,19,3405
0,279.28,0.0,0.0,20,16,6868
0,277.31,0.0,0.0,90,22,2101
0,288.22,0.0,0.0,75,19,3282
0,267.15,0.0,0.0,1,1,416
0,269.59,0.0,0.0,75,12,3649
0,249.15,0.0,0.0,1,6,2691
0,275.02,0.0,0.0,90,5,2706
0,273.37,0.0,0.0,90,12,4368
0,287.14,1.02,0.0,64,8,5460
0,283.92,0.0,0.0,90,19,2542
0,274.41,0.0,0.0,75,13,4548
0,254.75,0.0,0.0,90,8,1880
0,259.77,0.0,0.0,75,5,2316
0,269.15,0.0,0.0,90,14,5049
0,295.72,0.0,0.0,20,0,705
0,298.77,0.0,0.0,75,17,3044
0,268.16,0.0,0.0,90,23,1051
0,275.48,0.0,0.0,90,23,2657
0,294.5,0.0,0.0,90,18,4473
0,281.01,0.0,0.0,1,7,6472
0,291.88,0.0,0.0,40,23,1820
0,295.87,0.25,0.0,90,12,5735
0,272.51,0.0,0.0,90,8,5414
0,272.72,0.0,0.0,20,15,5631
0,258.87,0.0,0.0,40,16,3701
0,252.85,0.0,0.0,1,22,1646
0,290.75,0.0,0.0,90,11,4346
0,269.42,0.0,0.0,90,5,2585
0,284.49,0.0,0.0,68,5,793
0,273.34,0.0,0.0,90,12,5548
0,280.423,0.0,0.0,0,4,447
0,282.21,0.0,0.0,90,21,2283
0,276.02,0.0,0.0,40,5,2721
0,293.41,0.0,0.0,1,23,994
0,270.01,0.0,0.0,90,13,1987
0,291.82,0.0,0.0,1,21,2353
0,284.18,0.25,0.0,90,12,4888
0,264.79,0.0,0.0,75,8,1695
0,277.1,0.0,0.0,40,5,2672
