holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical,temperature_categorical
None,258.52,0.0,0.0,20,Clouds,few clouds,1/18/2013 7:00,6439,very high,low
None,302.58,0.0,0.0,5,Clear,sky is clear,8/12/2018 19:00,3658,medium,high
None,275.79,0.0,0.0,90,Clouds,overcast clouds,11/25/2016 13:00,3908,medium,medium
None,269.01,0.0,0.0,75,Haze,haze,2/15/2016 10:00,4047,medium,low
None,260.09,0.0,0.0,1,Clear,sky is clear,2/8/2017 2:00,407,very low,low
None,288.99,0.0,0.0,75,Mist,mist,8/10/2017 5:00,2986,medium,medium
None,275.22,0.0,0.0,90,Rain,light rain,12/16/2012 16:00,4130,medium,medium
None,294.89,0.0,0.0,1,Clear,sky is clear,7/25/2016 23:00,1167,very low,high
None,283.86,0.0,0.0,1,Clear,sky is clear,4/14/2016 3:00,360,very low,medium
None,275.28,0.0,0.0,90,Haze,haze,11/18/2017 0:00,1222,very low,medium
None,287.82,0.0,0.0,1,Clear,sky is clear,5/15/2013 8:00,6618,very high,medium
None,291.3,0.0,0.0,90,Rain,light rain,5/20/2013 19:00,3071,medium,medium
None,285.26,0.0,0.0,44,Clouds,scattered clouds,8/4/2013 5:00,551,very low,medium
None,259.58,0.0,0.0,20,Haze,haze,12/13/2012 0:00,590,very low,low
None,285.14,0.0,0.0,0,Clear,Sky is Clear,6/8/2016 7:00,6633,very high,medium
None,298.78,0.0,0.0,8,Clear,sky is clear,6/18/2013 14:00,5626,high,high
None,291.94,0.0,0.0,90,Rain,proximity shower rain,8/13/2017 22:00,1787,low,high
None,283.216,0.0,0.0,20,Clouds,few clouds,10/8/2016 17:00,4980,high,medium
None,283.42,0.0,0.0,1,Clear,sky is clear,10/18/2017 6:00,5927,very high,medium
None,258.21,0.0,0.0,1,Clear,sky is clear,2/9/2016 8:00,5947,very high,low
None,270.62,0.0,0.0,90,Snow,light snow,3/19/2016 7:00,1941,low,low
None,293.41,0.0,0.0,1,Clear,sky is clear,7/25/2015 3:00,356,very low,high
None,255.15,0.0,0.0,1,Clear,sky is clear,1/1/2018 17:00,3079,medium,low
None,291.7,0.0,0.0,5,Clear,sky is clear,9/8/2018 11:00,4249,medium,medium
None,295.81,0.0,0.0,24,Clouds,few clouds,8/15/2016 20:00,2605,low,high
None,276.02,0.0,0.0,40,Clouds,scattered clouds,4/13/2018 5:00,2721,low,medium
None,288.36,0.0,0.0,40,Clouds,scattered clouds,5/19/2014 2:00,295,very low,medium
None,286.51,0.0,0.0,90,Rain,moderate rain,10/6/2017 19:00,4165,medium,medium
None,273.02,0.0,0.0,1,Clear,sky is clear,3/15/2017 16:00,6552,very high,medium
None,289.95,0.0,0.0,90,Rain,light rain,8/26/2017 11:00,4507,high,medium
None,291.99,0.0,0.0,1,Clear,sky is clear,7/30/2015 2:00,342,very low,high
None,296.34,0.0,0.0,90,Clouds,overcast clouds,9/4/2016 19:00,2888,low,high
None,282.95,0.0,0.0,90,Rain,light rain,5/18/2017 11:00,4915,high,medium
None,258.78,0.0,0.0,64,Clouds,broken clouds,1/25/2014 13:00,4435,high,low
None,291.03,1.27,0.0,75,Mist,mist,5/28/2016 15:00,4143,medium,medium
None,293.58,0.0,0.0,64,Rain,light rain,10/4/2016 13:00,4532,high,high
None,282.36,0.0,0.0,1,Clear,sky is clear,10/24/2017 14:00,5429,high,medium
None,272.15,0.0,0.0,90,Snow,light snow,4/10/2018 5:00,2902,low,low
None,297.77,0.0,0.0,90,Clouds,overcast clouds,7/4/2014 12:00,3509,medium,high
None,295.16,0.0,0.0,1,Clear,sky is clear,8/30/2015 20:00,3256,medium,high
None,299.68,0.0,0.0,1,Clear,sky is clear,7/30/2015 12:00,5077,high,high
None,295.6,0.0,0.0,90,Rain,light rain,6/5/2014 15:00,5919,very high,high
None,266.15,0.0,0.0,90,Snow,light snow,2/7/2016 21:00,2237,low,low
None,278.81,0.0,0.0,1,Mist,mist,11/21/2012 11:00,5266,high,medium
None,271.24,0.0,0.0,90,Clouds,overcast clouds,3/28/2014 6:00,5471,high,low
None,298.62,0.0,0.0,5,Clear,sky is clear,8/8/2018 22:00,2711,low,high
None,261.71,0.0,0.0,1,Clear,sky is clear,3/12/2017 7:00,998,very low,low
None,266.35,0.0,0.0,1,Clear,sky is clear,2/25/2017 1:00,655,very low,low
None,299.65,0.0,0.0,1,Clear,sky is clear,5/17/2018 14:00,5480,high,high
None,297.28,0.0,0.0,90,Clouds,overcast clouds,7/11/2015 10:00,3634,medium,high
None,284.38,0.0,0.0,75,Rain,light rain,9/30/2018 16:00,4283,medium,medium
None,301.16,0.25,0.0,75,Rain,light rain,8/31/2018 16:00,5925,very high,high
None,287.15,0.0,0.0,90,Mist,mist,4/14/2017 21:00,2872,low,medium
None,274.48,0.0,0.0,90,Snow,light snow,10/28/2015 23:00,935,very low,medium
None,297.55,0.0,0.0,20,Clouds,few clouds,7/21/2018 21:00,3435,medium,high
None,284.15,0.0,0.0,90,Rain,light rain,3/13/2016 21:00,2377,low,medium
None,277.08,0.0,0.0,1,Clear,sky is clear,4/28/2017 10:00,5005,high,medium
None,265.29,0.0,0.0,90,Haze,haze,12/6/2017 15:00,5480,high,low
None,289.52,0.0,0.0,1,Clear,sky is clear,6/23/2017 1:00,656,very low,medium
None,301.51,0.0,0.0,75,Clouds,broken clouds,7/30/2017 18:00,4771,high,high
None,295.15,0.0,0.0,1,Clear,sky is clear,9/14/2017 0:00,591,very low,high
None,300.39,0.0,0.0,20,Clouds,few clouds,6/21/2013 22:00,2094,low,high
None,272.43,0.0,0.0,90,Clouds,overcast clouds,4/10/2018 4:00,905,very low,medium
None,288.91,0.0,0.0,1,Clear,sky is clear,8/3/2015 2:00,315,very low,medium
None,265.08,0.0,0.0,90,Clouds,overcast clouds,3/9/2018 4:00,839,very low,low
