holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
None,258.52,0.0,0.0,20,Clouds,few clouds,1/18/2013 7:00,6439,very high
None,302.58,0.0,0.0,5,Clear,sky is clear,8/12/2018 19:00,3658,medium
None,275.79,0.0,0.0,90,Clouds,overcast clouds,11/25/2016 13:00,3908,medium
None,269.01,0.0,0.0,75,Haze,haze,2/15/2016 10:00,4047,medium
None,260.09,0.0,0.0,1,Clear,sky is clear,2/8/2017 2:00,407,very low
None,288.99,0.0,0.0,75,Mist,mist,8/10/2017 5:00,2986,medium
None,275.22,0.0,0.0,90,Rain,light rain,12/16/2012 16:00,4130,medium
None,294.89,0.0,0.0,1,Clear,sky is clear,7/25/2016 23:00,1167,very low
None,283.86,0.0,0.0,1,Clear,sky is clear,4/14/2016 3:00,360,very low
None,275.28,0.0,0.0,90,Haze,haze,11/18/2017 0:00,1222,very low
None,287.82,0.0,0.0,1,Clear,sky is clear,5/15/2013 8:00,6618,very high
None,291.3,0.0,0.0,90,Rain,light rain,5/20/2013 19:00,3071,medium
None,285.26,0.0,0.0,44,Clouds,scattered clouds,8/4/2013 5:00,551,very low
None,259.58,0.0,0.0,20,Haze,haze,12/13/2012 0:00,590,very low
None,285.14,0.0,0.0,0,Clear,Sky is Clear,6/8/2016 7:00,6633,very high
None,298.78,0.0,0.0,8,Clear,sky is clear,6/18/2013 14:00,5626,high
None,291.94,0.0,0.0,90,Rain,proximity shower rain,8/13/2017 22:00,1787,low
None,283.216,0.0,0.0,20,Clouds,few clouds,10/8/2016 17:00,4980,high
None,283.42,0.0,0.0,1,Clear,sky is clear,10/18/2017 6:00,5927,very high
None,258.21,0.0,0.0,1,Clear,sky is clear,2/9/2016 8:00,5947,very high
None,270.62,0.0,0.0,90,Snow,light snow,3/19/2016 7:00,1941,low
None,293.41,0.0,0.0,1,Clear,sky is clear,7/25/2015 3:00,356,very low
None,255.15,0.0,0.0,1,Clear,sky is clear,1/1/2018 17:00,3079,medium
None,291.7,0.0,0.0,5,Clear,sky is clear,9/8/2018 11:00,4249,medium
None,295.81,0.0,0.0,24,Clouds,few clouds,8/15/2016 20:00,2605,low
None,276.02,0.0,0.0,40,Clouds,scattered clouds,4/13/2018 5:00,2721,low
None,288.36,0.0,0.0,40,Clouds,scattered clouds,5/19/2014 2:00,295,very low
None,286.51,0.0,0.0,90,Rain,moderate rain,10/6/2017 19:00,4165,medium
None,273.02,0.0,0.0,1,Clear,sky is clear,3/15/2017 16:00,6552,very high
None,289.95,0.0,0.0,90,Rain,light rain,8/26/2017 11:00,4507,high
None,291.99,0.0,0.0,1,Clear,sky is clear,7/30/2015 2:00,342,very low
None,296.34,0.0,0.0,90,Clouds,overcast clouds,9/4/2016 19:00,2888,low
None,282.95,0.0,0.0,90,Rain,light rain,5/18/2017 11:00,4915,high
None,258.78,0.0,0.0,64,Clouds,broken clouds,1/25/2014 13:00,4435,high
None,291.03,1.27,0.0,75,Mist,mist,5/28/2016 15:00,4143,medium
None,293.58,0.0,0.0,64,Rain,light rain,10/4/2016 13:00,4532,high
None,282.36,0.0,0.0,1,Clear,sky is clear,10/24/2017 14:00,5429,high
None,272.15,0.0,0.0,90,Snow,light snow,4/10/2018 5:00,2902,low
None,297.77,0.0,0.0,90,Clouds,overcast clouds,7/4/2014 12:00,3509,medium
None,295.16,0.0,0.0,1,Clear,sky is clear,8/30/2015 20:00,3256,medium
None,299.68,0.0,0.0,1,Clear,sky is clear,7/30/2015 12:00,5077,high
None,295.6,0.0,0.0,90,Rain,light rain,6/5/2014 15:00,5919,very high
None,266.15,0.0,0.0,90,Snow,light snow,2/7/2016 21:00,2237,low
None,278.81,0.0,0.0,1,Mist,mist,11/21/2012 11:00,5266,high
None,271.24,0.0,0.0,90,Clouds,overcast clouds,3/28/2014 6:00,5471,high
None,298.62,0.0,0.0,5,Clear,sky is clear,8/8/2018 22:00,2711,low
None,261.71,0.0,0.0,1,Clear,sky is clear,3/12/2017 7:00,998,very low
None,266.35,0.0,0.0,1,Clear,sky is clear,2/25/2017 1:00,655,very low
None,299.65,0.0,0.0,1,Clear,sky is clear,5/17/2018 14:00,5480,high
None,297.28,0.0,0.0,90,Clouds,overcast clouds,7/11/2015 10:00,3634,medium
None,284.38,0.0,0.0,75,Rain,light rain,9/30/2018 16:00,4283,medium
None,301.16,0.25,0.0,75,Rain,light rain,8/31/2018 16:00,5925,very high
None,287.15,0.0,0.0,90,Mist,mist,4/14/2017 21:00,2872,low
None,274.48,0.0,0.0,90,Snow,light snow,10/28/2015 23:00,935,very low
None,297.55,0.0,0.0,20,Clouds,few clouds,7/21/2018 21:00,3435,medium
None,284.15,0.0,0.0,90,Rain,light rain,3/13/2016 21:00,2377,low
None,277.08,0.0,0.0,1,Clear,sky is clear,4/28/2017 10:00,5005,high
None,265.29,0.0,0.0,90,Haze,haze,12/6/2017 15:00,5480,high
None,289.52,0.0,0.0,1,Clear,sky is clear,6/23/2017 1:00,656,very low
None,301.51,0.0,0.0,75,Clouds,broken clouds,7/30/2017 18:00,4771,high
None,295.15,0.0,0.0,1,Clear,sky is clear,9/14/2017 0:00,591,very low
None,300.39,0.0,0.0,20,Clouds,few clouds,6/21/2013 22:00,2094,low
None,272.43,0.0,0.0,90,Clouds,overcast clouds,4/10/2018 4:00,905,very low
None,288.91,0.0,0.0,1,Clear,sky is clear,8/3/2015 2:00,315,very low
None,265.08,0.0,0.0,90,Clouds,overcast clouds,3/9/2018 4:00,839,very low
None,293.82,0.0,0.0,75,Haze,haze,9/1/2017 19:00,3947,medium
None,271.21,0.0,0.0,1,Clear,sky is clear,1/8/2018 1:00,289,very low
None,288.18,0.0,0.0,1,Clear,sky is clear,8/26/2015 22:00,1770,low
None,261.23,0.0,0.0,75,Snow,light snow,1/4/2016 9:00,4637,high
None,279.51,0.0,0.0,90,Rain,light rain,3/31/2016 2:00,279,very low
None,279.22,0.0,0.0,1,Clear,sky is clear,5/3/2017 5:00,2970,medium
None,287.27,0.0,0.0,90,Rain,light rain,7/14/2014 21:00,2263,low
None,264.38,0.0,0.0,64,Mist,mist,1/10/2014 1:00,406,very low
None,249.48,0.0,0.0,1,Clear,sky is clear,1/2/2014 5:00,2439,low
None,287.29,0.0,0.0,1,Mist,mist,8/11/2017 4:00,894,very low
None,266.15,0.0,0.0,90,Snow,light snow,1/14/2014 11:00,3454,medium
None,282.6,0.0,0.0,1,Clear,sky is clear,5/12/2017 1:00,846,very low
None,264.58,0.0,0.0,40,Mist,mist,12/31/2012 22:00,2293,low
None,291.28,0.0,0.0,40,Clouds,scattered clouds,5/8/2018 8:00,6203,very high
None,294.09,0.0,0.0,1,Clear,sky is clear,7/11/2018 1:00,401,very low
None,292.68,0.0,0.0,40,Clouds,scattered clouds,5/1/2018 15:00,5802,high
None,253.55,0.0,0.0,5,Snow,light snow,2/7/2018 8:00,4915,high
None,272.15,0.0,0.0,75,Clouds,broken clouds,4/2/2016 13:00,5023,high
None,279.87,0.0,0.0,1,Clear,sky is clear,10/16/2012 1:00,324,very low
None,273.55,0.0,0.0,90,Snow,heavy snow,5/4/2013 8:00,3400,medium
None,298.98,0.0,0.0,90,Clouds,overcast clouds,7/11/2015 17:00,4012,medium
None,258.89,0.0,0.0,64,Clouds,broken clouds,12/18/2013 0:00,658,very low
None,286.87,0.0,0.0,5,Clear,sky is clear,10/8/2017 21:00,2286,low
None,281.86,0.0,0.0,75,Clouds,broken clouds,10/26/2017 9:00,5535,high
None,299.2,0.25,0.0,8,Rain,light rain,9/9/2013 13:00,4990,high
None,300.69,0.0,0.0,0,Clear,Sky is Clear,6/17/2016 16:00,5954,very high
None,289.8,0.0,0.0,90,Rain,light rain,9/9/2016 3:00,355,very low
None,301.22,0.0,0.0,40,Clouds,scattered clouds,7/2/2018 20:00,2792,low
None,286.77,0.0,0.0,0,Clear,Sky is Clear,2/18/2017 16:00,4912,high
None,269.65,0.0,0.0,75,Clouds,broken clouds,2/25/2018 13:00,3840,medium
None,297.08,0.0,0.0,1,Clear,sky is clear,7/22/2017 10:00,3738,medium
None,271.341,0.0,0.0,8,Clear,sky is clear,2/15/2017 19:00,3502,medium
None,257.75,0.0,0.0,90,Clouds,overcast clouds,1/15/2013 7:00,5916,very high
None,267.43,0.0,0.0,90,Clouds,overcast clouds,2/9/2013 5:00,730,very low
None,275.95,0.0,0.0,90,Mist,mist,4/10/2017 19:00,2730,low
None,290.68,7.72,0.0,90,Rain,heavy intensity rain,8/18/2015 13:00,4444,high
None,277.29,0.0,0.0,5,Clear,sky is clear,3/1/2018 17:00,6236,very high
None,296.02,0.0,0.0,75,Clouds,broken clouds,8/22/2017 16:00,6537,very high
None,287.13,0.0,0.0,75,Clouds,broken clouds,7/2/2016 1:00,940,very low
None,291.37,0.66,0.0,1,Rain,moderate rain,6/2/2014 8:00,6252,very high
None,278.87,0.0,0.0,1,Clear,sky is clear,2/19/2016 21:00,3102,medium
None,254.51,0.0,0.0,1,Clear,sky is clear,1/18/2016 18:00,3669,medium
None,270.56,0.0,0.0,64,Mist,mist,11/8/2013 8:00,5722,high
None,273.08,0.0,0.0,90,Clouds,overcast clouds,10/28/2017 8:00,2950,medium
None,295.81,0.0,0.0,1,Clear,sky is clear,9/20/2017 14:00,5210,high
None,271.57,0.0,0.0,1,Clear,sky is clear,3/14/2014 22:00,2505,low
None,292.82,0.0,0.0,90,Clouds,overcast clouds,6/23/2013 9:00,2803,low
None,290.63,0.0,0.0,12,Clouds,few clouds,8/8/2013 10:00,4815,high
None,261.68,0.0,0.0,20,Clouds,few clouds,1/15/2013 14:00,5136,high
None,273.58,0.0,0.0,75,Haze,haze,11/15/2016 4:00,888,very low
None,275.84,0.0,0.0,90,Mist,mist,3/24/2017 8:00,5803,high
None,248.15,0.0,0.0,1,Clear,sky is clear,1/8/2014 23:00,959,very low
None,301.5,0.0,0.0,40,Clouds,scattered clouds,7/27/2015 14:00,4943,high
None,281.73,0.0,0.0,1,Clear,sky is clear,5/11/2017 5:00,2915,medium
None,275.84,0.0,0.0,92,Mist,mist,3/24/2017 9:00,4922,high
None,296.73,0.0,0.0,1,Clear,sky is clear,8/23/2018 12:00,5136,high
None,259.81,0.0,0.0,75,Clouds,broken clouds,12/12/2017 9:00,5184,high
None,287.71,0.0,0.0,0,Mist,mist,7/12/2013 5:00,2828,low
None,290.437,0.0,0.0,88,Clouds,overcast clouds,8/21/2018 2:00,316,very low
None,293.29,0.0,0.0,1,Clear,sky is clear,7/23/2017 3:00,413,very low
None,287.39,0.0,0.0,92,Rain,light rain,9/23/2016 6:00,5345,high
None,286.87,0.0,0.0,90,Clouds,overcast clouds,11/22/2012 13:00,3213,medium
None,277.61,0.0,0.0,75,Clouds,broken clouds,3/28/2018 21:00,2616,low
None,301.82,0.0,0.0,1,Clear,sky is clear,8/15/2018 15:00,5428,high
None,263.68,0.0,0.0,90,Snow,light snow,1/28/2018 9:00,3024,medium
None,279.51,0.0,0.0,90,Mist,mist,12/10/2015 12:00,4743,high
None,279.07,0.0,0.0,1,Clear,sky is clear,4/11/2014 0:00,680,very low
None,284.29,0.0,0.0,90,Rain,light rain,10/25/2012 18:00,5351,high
None,283.0,0.0,0.0,1,Clear,sky is clear,5/18/2016 8:00,5742,high
None,271.58,0.0,0.0,1,Clear,sky is clear,3/28/2013 23:00,1273,very low
None,297.62,0.25,0.0,90,Rain,moderate rain,9/16/2015 23:00,955,very low
None,290.75,0.51,0.0,90,Mist,mist,9/24/2015 8:00,5940,very high
None,258.36,0.0,0.0,75,Snow,light snow,12/29/2017 0:00,741,very low
None,279.21,0.0,0.0,90,Clouds,overcast clouds,12/7/2012 8:00,6012,very high
None,273.57,0.0,0.0,90,Rain,light rain,12/16/2012 23:00,929,very low
None,286.15,0.0,0.0,90,Clouds,overcast clouds,5/29/2017 9:00,2371,low
None,274.52,0.0,0.0,90,Clouds,overcast clouds,4/14/2013 13:00,3681,medium
None,277.74,0.0,0.0,75,Clouds,broken clouds,4/9/2014 8:00,6217,very high
None,284.71,0.0,0.0,75,Clouds,broken clouds,5/30/2017 3:00,313,very low
None,285.75,0.0,0.0,90,Mist,mist,5/17/2017 23:00,1328,very low
None,285.95,0.0,0.0,90,Clouds,overcast clouds,4/12/2017 15:00,5712,high
None,287.86,0.0,0.0,20,Clouds,few clouds,7/29/2017 7:00,1365,very low
None,272.6,0.0,0.0,90,Fog,fog,4/12/2013 7:00,5652,high
None,277.69,0.0,0.0,75,Clouds,broken clouds,4/12/2018 23:00,1168,very low
None,297.79,0.0,0.0,1,Clear,sky is clear,7/3/2013 11:00,5123,high
None,273.72,0.0,0.0,1,Clear,sky is clear,4/21/2018 6:00,1418,very low
None,296.59,0.0,0.0,12,Clouds,few clouds,7/7/2013 8:00,1604,low
None,291.52,1.49,0.0,90,Rain,moderate rain,6/28/2015 1:00,816,very low
None,254.42,0.0,0.0,1,Clear,sky is clear,1/4/2017 4:00,836,very low
None,274.7,0.25,0.0,64,Rain,light rain,12/27/2013 19:00,3143,medium
None,255.93,0.0,0.0,20,Clouds,few clouds,2/14/2014 8:00,5516,high
None,290.08,0.0,0.0,90,Rain,heavy intensity rain,9/25/2017 5:00,2880,low
None,271.63,0.0,0.0,90,Mist,mist,4/14/2013 2:00,690,very low
None,289.22,0.0,0.0,1,Clear,sky is clear,4/26/2018 19:00,3813,medium
None,268.61,0.0,0.0,90,Mist,mist,3/5/2013 8:00,3380,medium
None,265.89,0.0,0.0,75,Clouds,broken clouds,1/14/2014 13:00,4062,medium
None,276.56,0.0,0.0,1,Clear,sky is clear,4/24/2013 20:00,2963,medium
None,292.61,0.0,0.0,8,Clear,sky is clear,6/8/2016 23:00,1418,very low
None,275.09,0.0,0.0,90,Mist,mist,11/18/2016 14:00,4694,high
None,283.973,0.0,0.0,0,Clear,Sky is Clear,10/5/2016 22:00,1886,low
None,286.92,0.0,0.0,0,Clear,Sky is Clear,9/26/2013 5:00,2971,medium
None,284.07,0.0,0.0,12,Clouds,few clouds,5/7/2014 8:00,6108,very high
None,286.38,0.0,0.0,92,Clouds,overcast clouds,6/8/2013 10:00,3761,medium
None,281.75,0.0,0.0,1,Clear,sky is clear,11/6/2016 5:00,455,very low
None,271.53,1.27,0.0,90,Rain,moderate rain,12/4/2013 9:00,3876,medium
None,272.08,0.0,0.0,90,Haze,haze,1/24/2016 15:00,3865,medium
None,270.95,0.0,0.0,1,Clear,sky is clear,3/21/2016 3:00,318,very low
None,271.15,0.0,0.0,90,Snow,light snow,1/24/2016 11:00,3590,medium
None,257.01,0.0,0.0,93,Clouds,overcast clouds,2/3/2013 17:00,3536,medium
None,294.02,0.0,0.0,90,Mist,mist,7/1/2018 9:00,2495,low
None,278.09,0.0,0.0,90,Mist,mist,4/26/2016 7:00,7149,very high
None,285.99,0.0,0.0,90,Clouds,overcast clouds,10/2/2017 7:00,6577,very high
None,275.84,0.0,0.0,90,Rain,moderate rain,3/4/2018 5:00,431,very low
None,280.71,0.0,0.0,90,Clouds,overcast clouds,5/23/2013 6:00,5919,very high
None,297.48,0.0,0.0,1,Clear,sky is clear,4/14/2016 18:00,4686,high
None,291.2,0.0,0.0,1,Clear,sky is clear,7/27/2014 6:00,861,very low
None,301.25,0.0,0.0,64,Rain,moderate rain,7/10/2013 19:00,3523,medium
None,284.64,0.0,0.0,90,Clouds,overcast clouds,10/12/2012 1:00,410,very low
None,284.38,0.0,0.0,8,Clear,sky is clear,10/9/2015 11:00,4930,high
None,291.79,5.46,0.0,90,Mist,mist,7/10/2016 6:00,1481,low
None,295.27,0.44,0.0,90,Rain,light rain,9/3/2018 19:00,3006,medium
None,290.09,0.0,0.0,90,Rain,light rain,9/16/2017 21:00,2929,medium
None,285.39,0.0,0.0,90,Rain,light rain,5/16/2016 2:00,285,very low
None,270.02,0.0,0.0,1,Clear,sky is clear,2/19/2014 1:00,340,very low
None,286.267,0.0,0.0,88,Clouds,overcast clouds,2/19/2017 18:00,3843,medium
None,276.02,0.0,0.0,92,Mist,mist,3/24/2017 7:00,6222,very high
None,254.51,0.0,0.0,40,Clouds,scattered clouds,1/16/2016 8:00,2603,low
None,276.793,0.0,0.0,64,Clouds,broken clouds,1/17/2014 21:00,2614,low
None,280.52,0.0,0.0,1,Clear,sky is clear,10/9/2015 21:00,2963,medium
None,289.94,0.0,0.0,5,Clear,sky is clear,7/24/2018 7:00,6409,very high
None,289.89,0.0,0.0,40,Mist,mist,5/16/2017 7:00,6326,very high
None,292.72,0.0,0.0,90,Clouds,overcast clouds,7/10/2017 8:00,5827,very high
None,271.26,0.0,0.0,90,Clouds,overcast clouds,3/27/2013 2:00,264,very low
None,294.45,0.0,0.0,1,Rain,light rain,9/20/2015 16:00,4183,medium
None,271.88,0.0,0.0,90,Clouds,overcast clouds,2/18/2018 11:00,3826,medium
None,281.32,0.0,0.0,90,Rain,light rain,11/16/2013 19:00,3147,medium
None,295.29,0.0,0.0,48,Clouds,scattered clouds,6/15/2013 23:00,2137,low
None,295.61,0.89,0.0,0,Rain,moderate rain,6/17/2013 19:00,3426,medium
None,295.55,0.0,0.0,40,Thunderstorm,proximity thunderstorm,7/6/2017 8:00,5356,high
None,282.9,0.0,0.0,90,Mist,mist,5/22/2013 23:00,1125,very low
None,287.15,0.0,0.0,90,Drizzle,drizzle,5/18/2013 7:00,1984,low
None,293.47,0.0,0.0,12,Clouds,few clouds,7/31/2013 14:00,5655,high
None,284.603,0.0,0.0,0,Clear,Sky is Clear,10/19/2016 8:00,5862,very high
None,301.57,0.0,0.0,1,Clear,sky is clear,8/31/2015 15:00,5773,high
None,285.91,0.0,0.0,90,Clouds,overcast clouds,5/12/2016 15:00,5754,high
None,271.95,0.0,0.0,90,Mist,mist,12/10/2012 4:00,794,very low
None,289.85,0.0,0.0,1,Clear,sky is clear,5/29/2014 1:00,443,very low
None,271.68,0.0,0.0,90,Clouds,overcast clouds,1/25/2017 18:00,4289,medium
None,290.22,0.0,0.0,20,Clouds,few clouds,8/10/2017 23:00,1414,very low
None,281.372,0.0,0.0,12,Clouds,few clouds,10/28/2016 0:00,697,very low
None,283.15,0.0,0.0,90,Drizzle,light intensity drizzle,5/21/2017 13:00,4461,high
None,288.15,0.0,0.0,75,Drizzle,light intensity drizzle,5/4/2018 1:00,393,very low
None,298.31,0.0,0.0,1,Clear,sky is clear,7/5/2015 12:00,3874,medium
None,260.08,0.0,0.0,90,Snow,heavy snow,1/24/2013 8:00,6256,very high
None,272.46,0.0,0.0,90,Mist,mist,2/10/2013 17:00,2230,low
None,258.01,0.0,0.0,90,Snow,light snow,1/15/2018 13:00,4207,medium
None,285.07,0.0,0.0,90,Mist,mist,12/4/2017 16:00,6533,very high
None,276.76,0.0,0.0,90,Clouds,overcast clouds,11/7/2012 23:00,1219,very low
None,272.41,0.0,0.0,90,Snow,heavy snow,12/10/2012 12:00,3866,medium
None,277.09,0.0,0.0,1,Mist,mist,11/2/2016 4:00,801,very low
None,263.76,0.0,0.0,64,Clouds,broken clouds,12/16/2013 15:00,5109,high
None,265.48,0.0,0.0,75,Snow,light snow,12/8/2016 5:00,2835,low
None,288.36,0.0,0.0,1,Clear,sky is clear,5/4/2018 9:00,5156,high
None,283.27,0.0,0.0,1,Clear,sky is clear,9/19/2015 3:00,383,very low
None,272.4,0.0,0.0,90,Clouds,overcast clouds,12/3/2016 18:00,4412,high
None,283.33,1.55,0.0,90,Rain,moderate rain,5/10/2016 4:00,828,very low
None,278.93,0.0,0.0,90,Drizzle,drizzle,10/29/2015 8:00,5760,high
None,271.46,0.0,0.0,90,Clouds,overcast clouds,1/29/2014 19:00,3122,medium
None,271.45,0.0,0.0,64,Mist,mist,12/4/2013 13:00,3880,medium
None,273.42,0.0,0.0,90,Mist,mist,1/17/2017 19:00,2982,medium
None,280.86,0.0,0.0,90,Drizzle,drizzle,5/22/2017 0:00,581,very low
None,290.15,0.0,0.0,90,Thunderstorm,proximity thunderstorm,6/30/2017 5:00,2664,low
None,295.3,0.0,0.0,56,Rain,moderate rain,6/20/2016 2:00,323,very low
None,299.27,0.0,0.0,1,Clear,sky is clear,8/8/2015 18:00,4079,medium
None,290.48,0.0,0.0,1,Clear,sky is clear,7/15/2017 7:00,1991,low
None,285.37,0.0,0.0,1,Mist,mist,9/8/2018 4:00,459,very low
