temperature,rain_1h,snow_1h,clouds_percentage,date_time,population_density_categorical,holiday_Christmas Day,holiday_Columbus Day,holiday_Independence Day,holiday_Labor Day,holiday_Martin Luther King Jr Day,holiday_Memorial Day,holiday_New Years Day,holiday_None,holiday_State Fair,holiday_Thanksgiving Day,holiday_Veterans Day,holiday_Washingtons Birthday
295.7,0.0,0.0,1,14,high,0,0,0,0,0,0,0,1,0,0,0,0
283.15,0.0,0.0,75,0,very low,0,0,0,0,0,0,0,1,0,0,0,0
290.57,0.0,0.0,90,18,high,0,0,0,0,0,0,0,1,0,0,0,0
294.61,0.0,0.0,1,4,very low,0,0,0,0,0,0,0,1,0,0,0,0
291.16,0.0,0.0,0,23,low,0,0,0,0,0,0,0,1,0,0,0,0
289.1,0.0,0.0,90,18,medium,0,0,0,0,0,0,0,1,0,0,0,0
276.35,0.0,0.0,90,16,very high,0,0,0,0,0,0,0,1,0,0,0,0
302.15,0.0,0.0,75,17,very high,0,0,0,0,0,0,0,1,0,0,0,0
286.88,0.0,0.0,90,4,very low,0,0,0,0,0,0,0,1,0,0,0,0
285.26,0.0,0.0,90,3,very low,0,0,0,0,0,0,0,1,0,0,0,0
293.16,0.51,0.0,90,8,high,0,0,0,0,0,0,0,1,0,0,0,0
271.01,0.0,0.0,75,11,medium,0,0,0,0,0,0,0,1,0,0,0,0
265.65,0.0,0.0,64,10,medium,0,0,0,0,0,0,0,1,0,0,0,0
296.36,0.0,0.0,1,9,high,0,0,0,0,0,0,0,1,0,0,0,0
294.4,0.0,0.0,1,21,low,0,0,0,0,0,0,0,1,0,0,0,0
269.92,0.0,0.0,64,1,very low,0,0,0,0,0,0,0,1,0,0,0,0
268.49,0.0,0.0,90,15,high,0,0,0,0,0,0,0,1,0,0,0,0
260.82,0.0,0.0,20,17,high,0,0,0,0,0,0,0,1,0,0,0,0
279.61,0.0,0.0,90,4,very low,0,0,0,0,0,0,0,1,0,0,0,0
280.93,0.0,0.0,0,9,high,0,0,0,0,0,0,0,1,0,0,0,0
272.02,0.0,0.0,1,2,very low,0,0,0,0,0,0,0,1,0,0,0,0
277.01,0.0,0.0,90,4,very low,0,0,0,0,0,0,0,1,0,0,0,0
284.0,0.0,0.0,1,2,very low,0,0,0,0,0,0,0,1,0,0,0,0
266.68,0.0,0.0,90,14,medium,0,0,0,0,0,0,0,1,0,0,0,0
274.36,0.0,0.0,1,17,high,0,0,0,0,0,0,0,1,0,0,0,0
294.16,5.59,0.0,1,16,very high,0,0,0,0,0,0,0,1,0,0,0,0
299.68,0.0,0.0,1,15,high,0,0,0,0,0,0,0,1,0,0,0,0
292.54,1.09,0.0,90,16,very high,0,0,0,0,0,0,0,1,0,0,0,0
289.8,0.0,0.0,1,1,very low,0,0,0,0,0,0,0,1,0,0,0,0
273.75,0.0,0.0,90,22,very low,0,0,0,0,0,0,0,1,0,0,0,0
293.81,0.0,0.0,5,13,high,0,0,0,0,0,0,0,1,0,0,0,0
297.33,0.25,0.0,75,14,medium,0,0,0,0,0,0,0,1,0,0,0,0
270.71,0.0,0.0,90,5,very low,0,0,0,0,0,0,0,1,0,0,0,0
274.84,0.0,0.0,90,18,medium,0,0,0,0,0,0,0,1,0,0,0,0
291.46,5.08,0.0,76,3,very low,0,0,0,0,0,0,0,1,0,0,0,0
271.87,0.0,0.0,75,18,very low,0,0,0,0,0,0,0,1,0,0,0,0
275.01,0.0,0.0,90,10,medium,0,0,0,0,0,0,0,1,0,0,0,0
298.69,0.0,0.0,1,17,medium,0,0,0,0,0,0,0,1,0,0,0,0
289.42,0.0,0.0,90,18,medium,0,0,0,0,0,0,0,1,0,0,0,0
260.23,0.0,0.0,90,14,medium,0,0,0,0,0,0,0,1,0,0,0,0
