Date,Time,CO,Benzene,NO2,Temperature,Humidity(%),Traffic_Volume,Particulate_Matter
2004-11-05,9:00:00,4.8,26.0,153,17.5,49.8,126.9185774,63.89684182
2005-08-03,9:00:00,5.5,26.3,223,4.1,47.9,,
2004-10-20,19:00:00,6.8,35.9,134,23.0,65.9,,
2004-07-22,12:00:00,2.1,14.0,130,40.1,19.0,,
2004-10-14,11:00:00,-200.0,8.0,-200,21.9,39.4,,
2005-03-16,5:00:00,0.6,1.6,86,8.0,68.9,,
2004-06-11,11:00:00,2.3,14.1,82,20.0,56.7,,
2004-05-24,16:00:00,1.4,7.7,92,25.5,14.0,,
2004-06-25,10:00:00,1.9,8.0,113,29.9,33.2,,
2005-09-03,4:00:00,0.8,2.5,90,3.8,56.8,,
2004-06-23,14:00:00,1.9,12.7,110,34.4,22.5,,
2004-10-30,21:00:00,2.8,13.8,96,20.4,64.8,,
2004-09-24,12:00:00,3.7,22.3,143,26.2,46.0,,
2004-05-25,15:00:00,-200.0,12.6,-200,32.6,9.2,,
2004-10-18,4:00:00,-200.0,1.8,-200,14.5,65.0,,
2004-08-05,8:00:00,-200.0,8.5,-200,11.0,75.0,122.4356406,69.84879623
2004-07-11,17:00:00,1.1,4.0,55,16.0,34.1,,
2004-05-25,8:00:00,3.0,22.2,100,16.3,27.5,,
2004-12-30,5:00:00,-200.0,1.1,-200,8.7,45.6,,
2004-01-12,23:00:00,2.0,7.5,107,11.3,83.1,,
2004-12-15,18:00:00,7.3,-200.0,214,-200.0,-200.0,,
2004-02-06,13:00:00,-200.0,4.7,34,29.6,33.4,,
2005-03-20,3:00:00,1.1,3.5,94,13.2,64.8,,
2004-01-07,16:00:00,1.8,10.9,127,37.8,22.7,,
2005-01-23,12:00:00,-200.0,8.7,206,7.1,42.8,,
2004-02-08,10:00:00,1.9,11.1,115,32.7,36.9,,
2005-03-03,16:00:00,1.7,5.5,151,6.3,72.1,,
2004-08-14,11:00:00,1.0,4.0,57,35.0,29.0,,
2004-06-28,1:00:00,1.0,5.0,63,26.7,40.0,,
2004-03-14,23:00:00,2.2,8.8,119,14.7,55.9,22.59235631,52.31511657
2005-02-03,0:00:00,0.9,2.2,102,0.2,30.2,,
2004-08-29,8:00:00,-200.0,4.8,-200,22.7,58.1,,
2005-07-01,20:00:00,5.0,20.5,159,6.5,80.0,,
2004-11-08,17:00:00,1.6,8.0,69,37.4,29.9,,
2005-09-03,20:00:00,5.9,24.4,199,11.5,53.9,,
2004-08-29,2:00:00,-200.0,7.3,-200,22.6,62.6,,
2004-08-16,15:00:00,0.8,3.8,57,38.4,16.4,,
2004-03-25,5:00:00,0.5,0.6,20,9.9,66.8,73.83646119,117.03801999999999
2004-11-25,9:00:00,4.8,22.9,137,6.7,72.6,,
2004-06-14,11:00:00,1.2,5.5,73,23.9,42.1,,
2004-03-26,20:00:00,2.6,10.6,93,10.0,51.1,73.93768307,114.24609209999998
2004-04-25,8:00:00,0.6,1.6,45,14.4,45.9,172.3024763,204.5205893
2004-12-10,11:00:00,-200.0,8.3,-200,19.7,49.1,,
2005-01-15,20:00:00,3.3,12.8,166,7.6,65.3,,
2004-04-28,19:00:00,5.4,28.3,155,23.1,42.2,176.7483204,211.0149821
2004-04-11,2:00:00,1.2,5.2,55,17.6,70.8,,
2005-02-27,20:00:00,2.6,6.8,181,5.5,43.5,,
2004-10-29,3:00:00,0.6,2.2,-200,18.7,73.5,,
2004-10-17,15:00:00,-200.0,4.7,-200,22.1,35.2,,
2004-06-22,9:00:00,2.8,14.2,123,22.8,41.9,,
2004-09-28,19:00:00,7.5,39.3,209,23.0,33.6,,
2004-03-31,4:00:00,0.5,0.8,26,14.5,36.1,87.55952804,116.7833722
2004-06-15,15:00:00,2.6,15.8,140,34.0,20.8,,
2005-03-30,10:00:00,2.7,12.1,158,18.6,49.5,,
2004-11-23,7:00:00,2.1,10.0,111,8.9,79.3,,
2004-04-09,18:00:00,2.1,10.0,-200,36.6,22.6,,
2005-08-01,16:00:00,4.3,18.9,194,13.3,59.0,,
2004-05-11,14:00:00,4.4,25.0,125,23.0,49.0,,
2004-05-11,7:00:00,0.8,5.7,52,16.1,69.6,,
2004-11-13,2:00:00,1.0,2.7,75,15.7,59.5,,
2004-10-06,22:00:00,2.5,14.2,118,26.3,34.3,,
2004-10-30,7:00:00,2.4,13.6,94,16.8,79.8,,
2004-11-21,1:00:00,1.5,9.7,196,4.9,53.0,,
2004-04-23,2:00:00,-200.0,3.4,-200,16.7,46.5,170.5288401,203.2587143
2004-04-06,15:00:00,-200.0,10.2,-200,25.8,32.6,,
2004-03-07,6:00:00,0.7,5.9,69,20.5,49.3,,
2004-11-24,21:00:00,5.3,23.9,144,10.0,76.1,,
2004-06-11,20:00:00,2.5,12.0,90,19.5,58.9,,
2004-08-16,21:00:00,1.4,8.0,88,29.5,32.1,,
2005-03-04,7:00:00,0.6,1.7,84,8.9,52.7,,
2004-07-08,1:00:00,1.2,6.4,57,23.4,64.9,,
2004-12-13,7:00:00,1.5,6.8,106,5.6,68.9,,
2004-06-13,22:00:00,0.7,2.3,54,19.8,45.7,,
