author,text
austen,emma jane austen volum chapter emma woodhous handsom clever rich comfort home happi disposit seem unit best bless exist live nearli twenti one year world veri littl distress vex wa youngest two daughter affection indulg father consequ sister marriag mistress hi hous veri earli period mother die long ago indistinct remembr caress place suppli excel woman gover fallen littl short mother affect
austen,sixteen year miss taylor mr woodhous famili less gover friend veri fond daughter particularli emma wa intimaci sister even befor miss taylor ceas hold nomin offic gover mild temper hardli allow impos ani restraint shadow author long pass away live togeth friend friend veri mutual attach emma like highli esteem miss taylor judgment direct chiefli real evil inde emma situat power rather much way disposit think littl well disadvantag threaten alloy mani enjoy danger howev wa present unperceiv ani mean rank misfortun sorrow came gentl sorrow shape ani disagre conscious miss taylor marri
austen,wa miss taylor loss first brought grief wa wed day thi belov friend emma first sat mourn thought ani continu wed bride peopl gone father left dine togeth prospect third cheer long even father compos sleep dinner usual onli sit think lost event everi promis happi friend mr weston wa man unexception charact easi fortun suitabl age pleasant manner wa satisfact consid self deni gener friendship alway wish promot match wa black morn work
austen,want miss taylor would felt everi hour everi day recal past kind kind affect sixteen year taught play five year old devot power attach amus health nurs variou ill childhood larg debt gratitud wa owe intercours last seven year equal foot perfect unreserv soon follow isabella marriag left wa yet dearer tender recollect friend companion possess intellig well inform use gentl know way famili interest concern peculiarli interest everi pleasur everi scheme one could speak everi thought aros affect could never find fault wa bear chang wa true friend wa go onli half mile emma wa awar great must differ mr weston onli half mile miss taylor hous advantag natur domest wa great danger suffer intellectu solitud dearli love father wa companion
austen,could meet convers ration play evil actual dispar age mr woodhous marri earli wa much increas hi constitut habit valetudinarian hi life without activ mind bodi wa much older man way year though everywher belov friendli hi heart hi amiabl temper hi talent could recommend ani time sister though compar littl remov matrimoni settl london onli sixteen mile wa much beyond daili reach mani long octob novemb even must struggl hartfield befor christma brought next visit isabella husband littl children fill hous give pleasant societi highburi larg popul villag almost amount town hartfield spite separ lawn shrubberi name realli belong afford equal woodhous first consequ look
austen,mani acquaint place father wa univers civil one among could accept lieu miss taylor even half day wa melancholi chang emma could sigh wish imposs thing till father awok made necessari cheer hi spirit requir support wa nervou man easili depress fond everi bodi wa use hate part hate chang everi kind matrimoni origin chang wa alway disagre wa mean yet reconcil hi daughter marri could ever speak compass though entir match affect wa oblig part miss taylor hi habit gentl selfish never abl suppos peopl could feel differ wa veri much dispos think miss taylor done sad thing would great deal happier spent rest life hartfield emma smile chat cheer could keep thought tea came wa imposs say exactli said dinner ]
austen,poor miss taylor wish piti mr weston ever thought agre papa know mr weston good humour pleasant excel man thoroughli deserv good wife would miss taylor live us ever bear odd humour might hous `` hous advantag hous thi three time larg never ani odd humour dear '' '' '' ]
austen,often shall go see come see us shall alway meet must begin must go pay wed visit veri soon dear get far randal distanc could walk half far '' `` papa nobodi thought walk '' ]
austen,must go carriag sure carriag jame like put hors littl way poor hors pay visit '' `` put mr weston stabl papa know settl alreadi talk mr weston last night '' '
austen,jame may veri sure alway like go randal becaus hi daughter housemaid onli doubt whether ever take us anywher els wa papa got hannah good place nobodi thought hannah till mention jame oblig veri glad think '' ]
